file_name	gps_seconds[s]	longitude[deg]	latitude[deg]	altitude_ellipsoidal[m]	roll[deg]	pitch[deg]	heading[deg] 
"./HMTpano_000001_000000.jpg" 1361005694 10.93376479 50.98380407 346.403 -1.38026761 0.42338036 -10.84717906
"./HMTpano_000001_000001.jpg" 1361005698.228 10.93377411 50.98376802 346.403 -1.16513147 -0.03666398 -11.1115799
"./HMTpano_000001_000002.jpg" 1361005699.846 10.93378524 50.9837232 346.423 -1.02281088 0.17876243 -6.01930018
"./HMTpano_000001_000003.jpg" 1361005701.304 10.93378027 50.98368124 346.438 -0.57581282 1.16535175 23.57578799
"./HMTpano_000001_000004.jpg" 1361005702.773 10.93373754 50.98364982 346.329 -0.81228836 3.01695724 58.75327903
"./HMTpano_000001_000005.jpg" 1361005704.432 10.9336743 50.983634 346.133 -0.13450171 3.1813691 79.04144168
"./HMTpano_000001_000006.jpg" 1361005706.444 10.93361004 50.98363497 345.959 0.83832603 2.4107859 112.49450892
"./HMTpano_000001_000007.jpg" 1361005708.168 10.93356273 50.98366071 345.818 1.87013604 1.22504055 153.17441223
"./HMTpano_000001_000008.jpg" 1361005710.041 10.93354303 50.98370195 345.755 1.01945151 1.26367249 168.89522243
"./HMTpano_000001_000009.jpg" 1361005712.918 10.93353315 50.98374614 345.694 -0.26296367 1.50318639 170.8974601
